0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.0,17.0,1.84647,1174.0,0.0,0.0,0.0,1.0,1.03,0.06,1.0,0.95,0.0,0.0
1.0,1.0,3.0,0.0,0.0,100.0,33.33,0.0,1.0,5.95,0.33,2.0,1.91,1.0,0.0
1.0,1.0,1.0,0.0,86.0,16.0,296.0,0.0,1.0,8.93,1.0,3.0,2.91,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.91,0.0,0.0
2.0,3.0,16.0,2.96234,1921.0,2.0,22.88,0.0,1.0,0.57,0.13,5.0,4.79,2.0,1.0
1.0,6.0,21.0,3.49331,1592.0,318.0,87.29,0.0,1.0,5.27,0.1,8.0,7.61,2.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,7.0,2.80735,7.0,7.0,161.43,0.0,1.0,8.32,0.43,1.0,0.99,0.0,0.0
1.0,2.0,2.0,0.964548,60.0,17.0,58.0,0.0,1.0,4.16,0.5,2.0,1.99,1.0,1.0
1.0,2.0,2.0,0.721928,9.0,1.0,79.5,0.0,2.0,0.02,1.0,3.0,2.99,2.0,0.0
1.0,3.0,3.0,1.52193,19.0,11.0,330.33,0.0,2.0,2.79,1.67,4.0,3.99,3.0,1.0
1.0,4.0,8.0,2.7402900000000003,29.0,59.0,285.75,0.0,2.0,7.21,0.63,5.0,4.92,4.0,1.0
1.0,2.0,2.0,1.0,0.0,2.0,134.0,0.0,2.0,0.0,2.0,6.0,5.92,5.0,0.0
1.0,2.0,26.0,4.33524,6099.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.27,3.0,1.0
1.0,1.0,2.0,0.918296,3.0,3.0,27.0,1.0,1.0,18.84,0.5,0.0,0.0,0.0,0.0
1.0,2.0,6.0,2.3297,506.0,1767.0,377.5,0.0,1.0,21.41,0.17,1.0,0.98,1.0,0.0
1.0,2.0,3.0,1.02304,63.0,0.0,378.33,0.0,2.0,8.57,0.67,2.0,1.98,2.0,0.0
1.0,1.0,5.0,2.2547,110.0,1.0,202.6,0.0,1.0,26.81,0.2,4.0,3.97,3.0,0.0
1.0,1.0,1.0,0.0,30.0,11.0,148.0,1.0,2.0,1.6,2.0,5.0,4.95,4.0,0.0
1.0,4.0,12.0,2.79968,1358.0,6.0,23.42,0.0,2.0,12.29,0.42,0.0,0.0,0.0,1.0
1.0,1.0,1.0,0.0,17.0,2.0,367.0,0.0,2.0,5.35,4.0,6.0,5.91,1.0,0.0
1.0,1.0,2.0,0.970951,5.0,5.0,160.0,0.0,3.0,3.11,1.5,7.0,6.9,5.0,0.0
1.0,2.0,4.0,1.91529,243.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.9,7.0,0.0
1.0,1.0,1.0,0.0,2.0,2.0,49.0,0.0,2.0,1.99,4.0,10.0,9.9,8.0,0.0
1.0,1.0,1.0,0.0,1.0,1.0,382.0,0.0,2.0,0.15,5.0,11.0,10.9,2.0,0.0
